Channel Id,Channel Url,Channel Title
UCrSIvbFncPSlK6AdwE2QboA,http://www.youtube.com/channel/UCrSIvbFncPSlK6AdwE2QboA,linkarzu
UC1t9VFj-O6YUDPQxaVg-NkQ,http://www.youtube.com/channel/UC1t9VFj-O6YUDPQxaVg-NkQ,c't 3003
UC_76XFUys5fTO7u_HqrD7aA,http://www.youtube.com/channel/UC_76XFUys5fTO7u_HqrD7aA,Raspberry Pi Cloud
UCR-DXc1voovS8nhAvccRZhg,http://www.youtube.com/channel/UCR-DXc1voovS8nhAvccRZhg,Jeff Geerling
UCUUTdohVElFLSP4NBnlPEwA,http://www.youtube.com/channel/UCUUTdohVElFLSP4NBnlPEwA,Jim's Garage
UCsBjURrPoezykLs9EqgamOA,http://www.youtube.com/channel/UCsBjURrPoezykLs9EqgamOA,Fireship
UCZNhwA1B5YqiY1nLzmM0ZRg,http://www.youtube.com/channel/UCZNhwA1B5YqiY1nLzmM0ZRg,Christian Lempa
UC_zBdZ0_H_jn41FDRG7q4Tw,http://www.youtube.com/channel/UC_zBdZ0_H_jn41FDRG7q4Tw,Vimjoyer
UC0eZKTW3ikbwtfiw2BapzyA,http://www.youtube.com/channel/UC0eZKTW3ikbwtfiw2BapzyA,Latiniculus
UC2TXq_t06Hjdr2g_KdKpHQg,http://www.youtube.com/channel/UC2TXq_t06Hjdr2g_KdKpHQg,media.ccc.de
UCx8JeRbwiB4BwhPYsv24Hsw,http://www.youtube.com/channel/UCx8JeRbwiB4BwhPYsv24Hsw,toast
UC_bMh2cqdwioGicb_zbdevw,http://www.youtube.com/channel/UC_bMh2cqdwioGicb_zbdevw,Nico Semsrott
UCGzvjCcqc9U6KkmgNx9t6VA,http://www.youtube.com/channel/UCGzvjCcqc9U6KkmgNx9t6VA,apfelcast by IT-ION GmbH
UC-0fWjosItIOD4ThhS6oyfA,http://www.youtube.com/channel/UC-0fWjosItIOD4ThhS6oyfA,Developer Voices
UCSxPE9PHHxQUEt6ajGmQyMA,http://www.youtube.com/channel/UCSxPE9PHHxQUEt6ajGmQyMA,Brian Casel
UC64fwl47Wrc6VJcskll7vsA,http://www.youtube.com/channel/UC64fwl47Wrc6VJcskll7vsA,itch.io
UCQ74G2gKXdpwZkXEsclzcrA,http://www.youtube.com/channel/UCQ74G2gKXdpwZkXEsclzcrA,OpenInfra Foundation
UCx4zfnkl-CfsKiQ77m3ob3w,http://www.youtube.com/channel/UCx4zfnkl-CfsKiQ77m3ob3w,Stadt Zeitz
UCUMwY9iS8oMyWDYIe6_RmoA,http://www.youtube.com/channel/UCUMwY9iS8oMyWDYIe6_RmoA,No Boilerplate
UC8butISFwT-Wl7EV0hUK0BQ,http://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,freeCodeCamp.org
UCPbwhExawYrn9xxI21TFfyw,http://www.youtube.com/channel/UCPbwhExawYrn9xxI21TFfyw,The Pragmatic Engineer
UCzQbgF0MRTMNY8ooXy-gbnQ,http://www.youtube.com/channel/UCzQbgF0MRTMNY8ooXy-gbnQ,J. Stephen Lee
UC-mexo-76-J1MlQM8NkWCYw,http://www.youtube.com/channel/UC-mexo-76-J1MlQM8NkWCYw,Armin Ronacher
UCOk-gHyjcWZNj3Br4oxwh0A,http://www.youtube.com/channel/UCOk-gHyjcWZNj3Br4oxwh0A,Techno Tim
UCg8HtS2dhTjnHBiDzlyE55w,http://www.youtube.com/channel/UCg8HtS2dhTjnHBiDzlyE55w,Ty Teaches Tech
UCsWaVYzOFvEWDsEuvuZJ-8A,http://www.youtube.com/channel/UCsWaVYzOFvEWDsEuvuZJ-8A,EmergentMind
UCbF-4yQQAWw-UnuCd2Azfzg,http://www.youtube.com/channel/UCbF-4yQQAWw-UnuCd2Azfzg,Christopher Okhravi
UCfa7jJFYnn3P5LdJXsFkrjw,http://www.youtube.com/channel/UCfa7jJFYnn3P5LdJXsFkrjw,STRG_F
